Country,Avg Happiness Index,CorpGPDmean,CorpTaxMean,GaSGPDmean,GaSTaxMean,PayrollGPDmean,PayrollTaxMean,PersIncGPDmean,PersIncTaxMean,PropGPDmean,PropTaxMean,SocSecGPDmean,SocSecTaxMean,TaxRevGPDmean,TaxRevPerCapMean,PercentLaborCostMean
Greece,5.033,1.5155,4.246,14.966,41.51233333,,,5.9245,16.607,2.127333333,5.912333333,10.59433333,29.39866667,36.044,7068.51,40.42930633
Hungary,5.145,1.568666667,4.057,16.93333333,43.879,0.567666667,1.470666667,5.221333333,13.538,1.295333333,3.358,12.70166667,32.90766667,38.59233333,5138.668667,49.027237
Ireland,6.907,2.483,9.377666667,8.939333333,33.287,0.163,0.606666667,8.555,31.88666667,1.906333333,7.064666667,4.627666667,17.21666667,26.824,15087.457,27.61985367
Iceland,7.501,2.806666667,7.482333333,11.98533333,32.12733333,0.349,0.935,13.56666667,36.372,2.319333333,6.214,3.672333333,9.844666667,37.34266667,18794.76967,34.010543
Isreal,7.267,3.226333333,10.38233333,12.058,38.773,1.181,3.797333333,5.802666667,18.65266667,3.006666667,9.667666667,5.120666667,16.46666667,31.09866667,11322.485,20.99426033
Italy,5.977,2.271333333,5.199333333,11.66966667,26.72766667,,,11.41166667,26.13433333,2.810333333,6.436333333,13.06566667,29.92266667,43.66566667,14428.25067,47.82391933
Japan,5.921,4.140666667,13.0855,6.141333333,18.6705,,,5.998333333,19.0665,2.669,8.66,12.554,40.259,31.1955,11728.9845,31.943306
South Korea,5.835,3.263333333,13.20966667,7.303333333,29.56966667,0.070333333,0.284,4.044333333,16.35233333,2.78,11.23533333,6.577333333,26.61366667,24.713,6690.440667,21.747566
Luxembourg,6.871,4.503666667,11.91233333,10.41333333,27.51866667,,,8.885666667,23.51066667,3.016666667,7.988666667,10.909,28.85333333,37.81033333,46872.25,37.75579933
Latvia,5.56,1.586666667,5.511,11.76933333,40.865,0.012666667,0.044,5.883333333,20.42766667,0.992666667,3.446333333,8.408333333,29.19933333,28.79966667,4163.54,43.08347333
Mexico,6.778,2.76,16.807,5.081,34.1045,0.353,2.3695,3.002,18.9155,0.3035,2.037,3.145,20.7645,15.736,1595.7285,19.529017
Netherlands,7.339,2.495333333,6.687666667,11.05366667,29.659,,,7.214,19.34833333,1.375,3.686666667,14.67933333,39.40233333,37.27033333,18344.92633,39.463064
Norway,7.498,6.467,16.56033333,11.23466667,28.91066667,,,10.053,25.87033333,1.180666667,3.035666667,9.953333333,25.623,38.88866667,36297.81433,36.956903
New Zealand,7.334,4.365666667,13.57333333,12.366,38.42833333,,,12.308,38.24566667,1.984666667,6.167,,,32.17833333,13423.303,17.23180367
Poland,5.835,1.7595,5.5025,11.544,36.095,0.238,0.745,4.53,14.1625,1.396,4.364,12.222,38.213,31.983,4494.0175,35.65806467
Portugal,5.123,3.085333333,9.010666667,13.01433333,38.00566667,,,7.567333333,22.10233333,1.229,3.588,8.956333333,26.156,34.24266667,7174.616333,41.53190033
Solvak Republic,6.078,3.236666667,10.33766667,10.69333333,34.21133333,,,3.026666667,9.678666667,0.436666667,1.398666667,13.48266667,43.14,31.26166667,5473.848667,41.24812967
Solvenia,5.768,1.366,3.730666667,14.742,40.26233333,0.056666667,0.155,5.136,14.027,0.631666667,1.724666667,14.537,39.70133333,36.61533333,8280.523333,42.48356633
Sweden,7.291,2.784333333,6.472333333,12.21933333,28.41,4.572333333,10.63,12.29366667,28.582,1.072666667,2.495,9.887333333,22.98966667,43.01066667,24282.00667,42.69547833
Turkey,5.389,1.803,6.147333333,13.15333333,44.812,,,4.229666667,14.40966667,1.407666667,4.794333333,8.319666667,28.33766667,29.35333333,2974.136667,37.87648233
USA,7.104,2.167666667,8.348666667,4.482,17.26733333,,,10.28433333,39.6,2.813,10.83733333,6.217,23.947,25.96433333,14146.92367,31.55239667
